entry_time,exit_time,signal,entry,sl,tp,result,profit,saldo,buy_probability,sell_probability
2026-05-20 16:54:00,2026-05-20 16:58:00,BUY,4485.96,4482.739285714286,4490.791071428572,LOSS,-712037.0956507314,23022532.759373646,0.8777997303544021,0.12220026964559791
2026-05-20 17:04:00,2026-05-20 17:05:00,BUY,4481.39,4478.8207142857145,4485.243928571429,LOSS,-690675.9827812094,22331856.776592437,0.8475909173073028,0.15240908269269668
2026-05-20 17:14:00,2026-05-20 17:15:00,BUY,4476.94,4473.33,4482.355,WIN,1004933.5549466597,23336790.3315391,0.7988595286618503,0.20114047133815
2026-05-20 17:26:00,2026-05-20 17:42:00,BUY,4504.32,4496.1849999999995,4516.5225,WIN,1050155.5649192594,24386945.896458358,0.6572978291207393,0.34270217087926025
2026-05-20 17:49:00,2026-05-20 17:57:00,BUY,4521.81,4517.863571428572,4527.7296428571435,WIN,1097412.565340626,25484358.461798985,0.615502960608732,0.38449703939126756
2026-05-20 18:06:00,2026-05-20 18:07:00,BUY,4528.26,4524.840714285715,4533.388928571429,LOSS,-764530.7538539695,24719827.707945015,0.6183015459672341,0.3816984540327659
2026-05-20 18:24:00,2026-05-20 18:29:00,BUY,4536.17,4530.506428571429,4544.665357142857,LOSS,-741594.8312383505,23978232.876706664,0.5678975123323569,0.4321024876676429
2026-05-20 18:49:00,2026-05-20 18:53:00,BUY,4537.2,4534.940714285714,4540.588928571428,LOSS,-719346.9863011999,23258885.890405465,0.606178884974042,0.3938211150259583
2026-05-20 18:59:00,2026-05-20 19:06:00,BUY,4529.12,4527.065714285714,4532.201428571429,WIN,1046649.8650682458,24305535.75547371,0.6234910774899297,0.3765089225100701
2026-05-20 19:12:00,2026-05-20 19:16:00,BUY,4532.58,4530.802142857143,4535.246785714286,LOSS,-729166.0726642113,23576369.6828095,0.6066915217408347,0.3933084782591652
2026-05-20 19:44:00,2026-05-20 19:48:00,BUY,4533.8,4531.532857142857,4537.200714285715,LOSS,-707291.0904842849,22869078.592325214,0.585336688491119,0.41466331150888136
2026-05-20 20:21:00,2026-05-20 20:52:00,BUY,4536.08,4534.290714285714,4538.763928571429,LOSS,-686072.3577697565,22183006.234555457,0.5532489475402577,0.44675105245974445
2026-05-20 21:32:00,2026-05-20 21:34:00,BUY,4536.8,4535.418571428571,4538.8721428571425,WIN,998235.2805549954,23181241.51511045,0.5752777277800306,0.42472227221997094
2026-05-21 01:46:00,2026-05-21 02:33:00,BUY,4543.78,4542.559285714286,4545.611071428571,LOSS,-695437.2454533136,22485804.26965714,0.5676152342029792,0.4323847657970224
2026-05-21 02:48:00,2026-05-21 02:51:00,BUY,4545.81,4544.282857142858,4548.100714285714,LOSS,-674574.1280897141,21811230.141567424,0.5884454540440286,0.411554545955972
2026-05-21 03:13:00,2026-05-21 04:09:00,BUY,4544.87,4542.279285714286,4548.756071428572,WIN,981505.356370534,22792735.49793796,0.5696972371537924,0.4303027628462084
2026-05-21 04:18:00,2026-05-21 04:26:00,SELL,4558.49,4561.902142857142,4553.371785714286,LOSS,-683782.0649381387,22108953.43299982,0.42578115929332755,0.5742188407066728
2026-05-21 04:45:00,2026-05-21 04:50:00,BUY,4566.31,4564.016428571429,4569.750357142858,LOSS,-663268.6029899946,21445684.830009826,0.5905279383138925,0.40947206168610767
